fips,area
01001,594.436
01009,644.776
01017,596.531
01021,692.854
01033,592.619
01045,561.15
01051,618.485
01065,643.943
01079,690.678
01083,559.936
01099,1025.675
01107,881.408
01121,736.775
02050,40570.004
02105,7524.915
02122,16075.331
02150,6549.579
02164,23652.009
02180,22961.761
02188,35572.584
02198,3922.873
05141,708.143
05145,1035.075
06005,594.583
06021,1313.947
06033,1256.464
06043,1448.816
06055,748.362
06089,3775.402
06099,1494.827
06115,631.839
08003,722.643
08013,726.289
08014,33.034
08025,787.421
08031,153.0
08035,840.248
08047,149.896
12083,1584.546
12087,983.282
12095,903.429
12111,571.926
12119,546.933
12125,243.556
13001,507.081
13013,160.309
13029,435.967
13043,243.044
13055,313.338
13059,119.2
13071,544.153
13079,324.888
13091,495.89
13107,680.604
13113,194.342
13123,426.54
08053,1117.251
08057,1613.723
08059,764.208
08073,2577.626
08083,2029.527
08095,687.928
08105,911.958
08111,387.488
08123,3987.238
09015,512.91
12001,875.02
12013,567.334
12023,797.574
12039,516.332
12055,1016.615
12059,478.777
12073,666.852
02261,34239.88
02270,17081.433
04003,6165.69
04013,9200.143
05001,988.77
05009,590.231
05019,866.074
05029,552.25
05043,828.356
05051,677.781
05061,588.554
05071,659.804
05085,770.728
05097,779.88
05101,820.896
05111,758.389
05123,634.771
05129,666.095
13309,295.484
13313,290.464
13319,447.308
15009,1161.521
16015,1899.237
16021,1268.56
16045,560.9
16051,1093.501
16057,1075.996
16067,757.591
16081,449.456
17005,380.279
17009,305.607
17019,996.266
17029,508.291
17035,346.024
17049,478.777
17055,408.889
17065,434.665
18051,487.486
18059,306.016
18069,382.651
18079,376.583
18085,531.381
18095,451.915
18105,394.509
18115,86.14
18125,334.238
18131,433.649
18139,408.124
18153,447.142
18173,384.815
18179,368.087
18183,335.569
19009,442.961
19017,435.477
19021,574.915
19031,579.436
19039,431.167
17073,822.985
17077,584.081
17079,494.51
17089,520.058
17103,724.896
17107,618.059
17121,572.363
17129,314.437
17139,335.943
17145,441.761
17155,160.161
17169,437.273
17175,288.079
17179,648.974
17189,562.572
17203,527.799
18009,165.08
18011,422.913
18021,357.542
18033,362.824
13125,143.74
13129,355.808
13131,454.527
13139,392.782
13157,339.663
13169,393.933
13175,807.296
13187,282.933
13197,366.003
13201,282.421
13217,272.161
13225,150.267
13233,310.331
13243,428.236
13253,235.226
13265,194.608
13277,258.915
13285,413.988
13293,323.437
13303,678.452
20027,645.301
20029,715.342
20039,893.517
20049,644.265
20065,898.522
20075,996.508
20085,656.217
20095,863.363
20105,719.396
20115,944.29
20127,695.279
20135,1074.75
20145,754.263
20155,1255.346
20163,890.533
20173,997.512
20185,792.046
20195,889.478
20203,718.568
20205,570.418
21183,587.274
21187,351.103
21189,197.407
21199,658.408
21209,281.766
21219,374.496
21229,297.266
22001,655.119
22013,811.268
22033,455.374
22053,651.328
22073,610.406
22077,557.346
22089,279.083
22105,791.275
22115,1327.91
21003,344.338
21009,487.541
21017,289.719
21025,492.413
21031,426.088
21043,409.496
21053,197.246
21063,234.315
21077,101.234
21087,286.034
21099,412.086
21103,286.276
21115,261.953
21121,386.297
21137,334.095
21143,213.84
21151,437.293
21157,301.253
21169,289.645
21175,381.127
19045,694.915
19047,714.19
19055,577.756
19063,395.883
19067,500.632
19079,576.751
19087,434.328
19095,586.457
19105,575.621
19113,716.88
19121,561.006
19125,554.534
19137,424.097
19141,573.035
19151,577.241
19161,575.012
19169,572.818
19175,423.645
19181,569.827
19195,400.123
20005,431.172
20015,1429.863
27073,765.021
27083,714.559
27085,491.471
27093,608.178
27103,448.494
27113,616.57
27121,669.713
27127,878.572
27147,429.645
27153,944.982
27161,423.356
28003,400.038
28013,586.573
28017,501.779
28029,777.244
28037,563.779
28049,869.741
28061,676.243
28065,408.443
28075,703.634
22121,192.394
22127,950.086
23009,1586.893
23029,2562.66
24001,424.158
24003,414.902
24009,213.152
24017,457.749
24019,540.765
24029,277.03
24035,371.908
24037,357.18
24039,319.723
24041,268.538
25011,699.319
26009,475.703
26015,553.092
26023,506.369
26035,564.315
26037,566.408
26045,575.175
26057,568.464
26061,1009.099
26073,572.677
26077,561.658
26083,540.112
26085,567.37
26091,749.555
26097,1021.569
26103,1808.401
26107,555.071
26111,516.253
26117,705.399
26123,813.204
26133,566.391
26143,519.636
26155,530.668
26161,705.965
26165,565.002
27009,408.301
27019,354.325
27029,998.94
27039,439.276
27051,548.16
27057,925.675
27067,796.785
29097,638.487
29103,504.011
29109,611.737
29117,532.329
29131,592.595
29137,647.653
29151,604.346
29159,682.222
29169,547.099
29179,808.478
29195,755.504
29205,500.864
29211,647.981
29221,759.913
29229,681.771
30013,2698.158
30037,1175.342
30043,1656.257
31121,484.881
31125,441.633
31135,883.335
31137,539.79
31147,551.84
31159,571.428
31163,565.828
31171,713.236
31183,575.182
32009,3581.876
32021,3752.844
32033,8875.648
34007,221.263
34015,322.005
34031,184.593
35001,1160.828
